variable,data,correlation_true,correlation_pred,mutual_info,unpriv_prob_pos,priv_prob_pos,unbalance,statistical_parity,equal_opportunity,average_odds,instance_num,log_inst_num,class_num,feat_num,log_feat_num,inst_missing_vals,perc_inst_missing_val,feat_missing_val,perc_feat_missing_val,missing_vals,perc_miss_vals,numeric_features,cat_features,ratio_num_cat,ratio_cat_num,dataset_ratio,log_dataset_ratio,inverse_ratio,log_inverse_ratio,class_prob_min,class_prob_max,class_prob_mean,class_prob_std,symbols,symbols_min,symbols_max,symbols_mean,symbols_std,symbols_sum,kurtosis_min,kurtosis_max,kurtosis_mean,kurtosis_std,kurtosis_var,skew_min,skew_max,skew_mean,skew_std,skew_var,class_entropy,unpriv_prob_neg,priv_prob_neg,pos_prob,neg_prob
 Assoc-voc,adult,0.0320807210141396,0.0355622972595902,0.0004879488202092,0.2379507920458375,0.3070866141732283,0.9882144303219078,0.0,0.0,0.0,3094,8.037220031133012,2,103,4.634728988229636,0,0,0,0,0,0,103,0,1.0,0.0,0.0332902391725921,-3.4024910429033755,30.038834951456312,3.402491042903376,0.2407886231415643,0.7592113768584356,0.5,0.2592113768584356,2,0,0,0.0,0.0,0,-1.9585192951024752,3093.9999999999995,328.4980587034663,716.8303066128841,19.438346274351986,-3.085847847200726,55.62373594069352,10.981505447738485,14.472035956249083,4.6287991424803465,6.61338421837956,0.7620492079541625,0.6929133858267718,-0.0691358221273908,0.0691358221273907
 Bachelors,adult,0.1403975283654265,0.2626505158447593,0.0090143965749765,0.2165413533834586,0.3894009216589861,0.8993006004945249,1.0,0.0,1.0,3094,8.037220031133012,2,103,4.634728988229636,0,0,0,0,0,0,103,0,1.0,0.0,0.0332902391725921,-3.4024910429033755,30.038834951456312,3.402491042903376,0.2407886231415643,0.7592113768584356,0.5,0.2592113768584356,2,0,0,0.0,0.0,0,-1.9585192951024752,3093.9999999999995,328.4980587034663,716.8303066128841,2.29784046507682,-3.085847847200726,55.62373594069352,10.981505447738485,14.472035956249083,2.0727651893437384,6.61338421837956,0.7834586466165414,0.6105990783410139,-0.1728595682755275,0.1728595682755275
 Doctorate,adult,0.136299493527236,0.1590329896755546,0.0075469781457871,0.2341191879502292,0.75,0.9723017013664552,1.0,0.0,1.0,3094,8.037220031133012,2,103,4.634728988229636,0,0,0,0,0,0,103,0,1.0,0.0,0.0332902391725921,-3.4024910429033755,30.038834951456312,3.402491042903376,0.2407886231415643,0.7592113768584356,0.5,0.2592113768584356,2,0,0,0.0,0.0,0,-1.9585192951024752,3093.9999999999995,328.4980587034663,716.8303066128841,72.48211654762683,-3.085847847200726,55.62373594069352,10.981505447738485,14.472035956249083,8.627587357778452,6.61338421837956,0.7658808120497708,0.25,-0.5158808120497708,0.5158808120497708
 HS-grad,adult,-0.1304583562275632,-0.2215506241676326,0.0089152035130421,0.2808823529411764,0.1631878557874762,1.166510067114094,0.0,0.0,1.0,3094,8.037220031133012,2,103,4.634728988229636,0,0,0,0,0,0,103,0,1.0,0.0,0.0332902391725921,-3.4024910429033755,30.038834951456312,3.402491042903376,0.2407886231415643,0.7592113768584356,0.5,0.2592113768584356,2,0,0,0.0,0.0,0,-1.9585192951024752,3093.9999999999995,328.4980587034663,716.8303066128841,-1.548412001548597,-3.085847847200726,55.62373594069352,10.981505447738485,14.472035956249083,0.6727475970823672,6.61338421837956,0.7191176470588236,0.8368121442125238,0.1176944971537002,-0.1176944971537001
 Masters,adult,0.2217231751622549,0.2227394848715804,0.0204903015155828,0.2172271791352093,0.6222222222222222,0.9021488486501176,1.0,0.0,1.0,3094,8.037220031133012,2,103,4.634728988229636,0,0,0,0,0,0,103,0,1.0,0.0,0.0332902391725921,-3.4024910429033755,30.038834951456312,3.402491042903376,0.2407886231415643,0.7592113768584356,0.5,0.2592113768584356,2,0,0,0.0,0.0,0,-1.9585192951024752,3093.9999999999995,328.4980587034663,716.8303066128841,12.272421904010796,-3.085847847200726,55.62373594069352,10.981505447738485,14.472035956249083,3.776835881330271,6.61338421837956,0.7827728208647907,0.3777777777777777,-0.4049950430870129,0.4049950430870129
 Preschool,adult,-0.0202622366782589,-0.0171530614752941,0.000356406289789,0.2411003236245954,0.0,1.001294498381877,0.0,0.0,1.0,3094,8.037220031133012,2,103,4.634728988229636,0,0,0,0,0,0,103,0,1.0,0.0,0.0332902391725921,-3.4024910429033755,30.038834951456312,3.402491042903376,0.2407886231415643,0.7592113768584356,0.5,0.2592113768584356,2,0,0,0.0,0.0,0,-1.9585192951024752,3093.9999999999995,328.4980587034663,716.8303066128841,769.7466047695341,-3.085847847200726,55.62373594069352,10.981505447738485,14.472035956249083,27.771370713826663,6.61338421837956,0.7588996763754046,1.0,0.2411003236245954,-0.2411003236245954
 Prof-school,adult,0.1586473303468966,0.1994361910852916,0.0102338960740788,0.232183908045977,0.7755102040816326,0.9642644449587288,1.0,0.0,1.0,3094,8.037220031133012,2,103,4.634728988229636,0,0,0,0,0,0,103,0,1.0,0.0,0.0332902391725921,-3.4024910429033755,30.038834951456312,3.402491042903376,0.2407886231415643,0.7592113768584356,0.5,0.2592113768584356,2,0,0,0.0,0.0,0,-1.9585192951024752,3093.9999999999995,328.4980587034663,716.8303066128841,58.25498698573547,-3.085847847200726,55.62373594069352,10.981505447738485,14.472035956249083,7.759982644906663,6.61338421837956,0.767816091954023,0.2244897959183673,-0.5433262960356556,0.5433262960356556
 Some-college,adult,-0.0580008985211183,-0.0502978827141345,0.0017409480732239,0.2541736227045075,0.1948424068767908,1.0555881726815386,0.0,0.0,0.0,3094,8.037220031133012,2,103,4.634728988229636,0,0,0,0,0,0,103,0,1.0,0.0,0.0332902391725921,-3.4024910429033755,30.038834951456312,3.402491042903376,0.2407886231415643,0.7592113768584356,0.5,0.2592113768584356,2,0,0,0.0,0.0,0,-1.9585192951024752,3093.9999999999995,328.4980587034663,716.8303066128841,-0.2745212022031755,-3.085847847200726,55.62373594069352,10.981505447738485,14.472035956249083,1.313642519763394,6.61338421837956,0.7458263772954925,0.8051575931232092,0.0593312158277166,-0.0593312158277167
 Divorced,adult,-0.120958207938083,-0.1672048787991621,0.0084159576269405,0.2615384615384615,0.1118881118881118,1.0861744966442952,0.0,0.0,1.0,3094,8.037220031133012,2,103,4.634728988229636,0,0,0,0,0,0,103,0,1.0,0.0,0.0332902391725921,-3.4024910429033755,30.038834951456312,3.402491042903376,0.2407886231415643,0.7592113768584356,0.5,0.2592113768584356,2,0,0,0.0,0.0,0,-1.9585192951024752,3093.9999999999995,328.4980587034663,716.8303066128841,2.378878034134893,-3.085847847200726,55.62373594069352,10.981505447738485,14.472035956249083,2.092209529543325,6.61338421837956,0.7384615384615385,0.8881118881118882,0.1496503496503496,-0.1496503496503497
 Married-AF-spouse,adult,-0.0143229304544276,-0.0121251227340945,0.0001781367838062,0.2409443725743855,0.0,1.000646830530401,0.0,0.0,1.0,3094,8.037220031133012,2,103,4.634728988229636,0,0,0,0,0,0,103,0,1.0,0.0,0.0332902391725921,-3.4024910429033755,30.038834951456312,3.402491042903376,0.2407886231415643,0.7592113768584356,0.5,0.2592113768584356,2,0,0,0.0,0.0,0,-1.9585192951024752,3093.9999999999995,328.4980587034663,716.8303066128841,1544.497412050293,-3.085847847200726,55.62373594069352,10.981505447738485,14.472035956249083,39.31283543530701,6.61338421837956,0.7590556274256145,1.0,0.2409443725743855,-0.2409443725743855
 Married-civ-spouse,adult,0.4556452880056575,0.501782957940777,0.1100039861096799,0.0650644783118405,0.4567723342939481,0.2702140884521271,1.0,1.0,1.0,3094,8.037220031133012,2,103,4.634728988229636,0,0,0,0,0,0,103,0,1.0,0.0,0.0332902391725921,-3.4024910429033755,30.038834951456312,3.402491042903376,0.2407886231415643,0.7592113768584356,0.5,0.2592113768584356,2,0,0,0.0,0.0,0,-1.9585192951024752,3093.9999999999995,328.4980587034663,716.8303066128841,-1.9585192951024752,-3.085847847200726,55.62373594069352,10.981505447738485,14.472035956249083,0.2067538012372867,6.61338421837956,0.9349355216881596,0.543227665706052,-0.3917078559821075,0.3917078559821075
 Married-spouse-absent,adult,-0.0426281702559305,-0.0487375040319502,0.0011828098037714,0.2426518615284128,0.0625,1.0077380665354485,0.0,0.0,1.0,3094,8.037220031133012,2,103,4.634728988229636,0,0,0,0,0,0,103,0,1.0,0.0,0.0332902391725921,-3.4024910429033755,30.038834951456312,3.402491042903376,0.2407886231415643,0.7592113768584356,0.5,0.2592113768584356,2,0,0,0.0,0.0,0,-1.9585192951024752,3093.9999999999995,328.4980587034663,716.8303066128841,91.8482517739764,-3.085847847200726,55.62373594069352,10.981505447738485,14.472035956249083,9.68446592898473,6.61338421837956,0.7573481384715872,0.9375,0.1801518615284128,-0.1801518615284127
 Never-married,adult,-0.3262629760610839,-0.3302179269705185,0.065216579310195,0.3394762366634336,0.0436046511627907,1.409851645955253,1.0,0.0,1.0,3094,8.037220031133012,2,103,4.634728988229636,0,0,0,0,0,0,103,0,1.0,0.0,0.0332902391725921,-3.4024910429033755,30.038834951456312,3.402491042903376,0.2407886231415643,0.7592113768584356,0.5,0.2592113768584356,2,0,0,0.0,0.0,0,-1.9585192951024752,3093.9999999999995,328.4980587034663,716.8303066128841,-1.501940492199524,-3.085847847200726,55.62373594069352,10.981505447738485,14.472035956249083,0.7064211201277093,6.61338421837956,0.6605237633365664,0.9563953488372092,0.2958715855006428,-0.2958715855006429
 Separated,adult,-0.0626987064577308,-0.0892726966372639,0.0023314992639114,0.2460557233971131,0.1043478260869565,1.0218743734102926,0.0,0.0,1.0,3094,8.037220031133012,2,103,4.634728988229636,0,0,0,0,0,0,103,0,1.0,0.0,0.0332902391725921,-3.4024910429033755,30.038834951456312,3.402491042903376,0.2407886231415643,0.7592113768584356,0.5,0.2592113768584356,2,0,0,0.0,0.0,0,-1.9585192951024752,3093.9999999999995,328.4980587034663,716.8303066128841,21.98039492605218,-3.085847847200726,55.62373594069352,10.981505447738485,14.472035956249083,4.8955272383049255,6.61338421837956,0.7539442766028869,0.8956521739130435,0.1417078973101566,-0.1417078973101566
 Widowed,adult,-0.0833373367995392,-0.0805136152981968,0.0047649430550536,0.2471647765176784,0.0416666666666666,1.026480293349929,0.0,0.0,1.0,3094,8.037220031133012,2,103,4.634728988229636,0,0,0,0,0,0,103,0,1.0,0.0,0.0332902391725921,-3.4024910429033755,30.038834951456312,3.402491042903376,0.2407886231415643,0.7592113768584356,0.5,0.2592113768584356,2,0,0,0.0,0.0,0,-1.9585192951024752,3093.9999999999995,328.4980587034663,716.8303066128841,27.30723600213717,-3.085847847200726,55.62373594069352,10.981505447738485,14.472035956249083,5.411985280852783,6.61338421837956,0.7528352234823216,0.9583333333333334,0.2054981098510118,-0.2054981098510118
 ?,adult,-0.080135798306659,-0.0851945256563909,0.0038129973550051,0.249228659581762,0.1016949152542373,1.035051641269761,0.0,0.0,1.0,3094,8.037220031133012,2,103,4.634728988229636,0,0,0,0,0,0,103,0,1.0,0.0,0.0332902391725921,-3.4024910429033755,30.038834951456312,3.402491042903376,0.2407886231415643,0.7592113768584356,0.5,0.2592113768584356,2,0,0,0.0,0.0,0,-1.9585192951024752,3093.9999999999995,328.4980587034663,716.8303066128841,12.563136613009185,-3.085847847200726,55.62373594069352,10.981505447738485,14.472035956249083,3.8151036764243935,6.61338421837956,0.750771340418238,0.8983050847457628,0.1475337443275247,-0.1475337443275247
 Adm-clerical,adult,-0.0929180811171294,-0.0752952661986633,0.0049054852097299,0.2543290043290043,0.124223602484472,1.0562334756965628,0.0,0.0,0.0,3094,8.037220031133012,2,103,4.634728988229636,0,0,0,0,0,0,103,0,1.0,0.0,0.0332902391725921,-3.4024910429033755,30.038834951456312,3.402491042903376,0.2407886231415643,0.7592113768584356,0.5,0.2592113768584356,2,0,0,0.0,0.0,0,-1.9585192951024752,3093.9999999999995,328.4980587034663,716.8303066128841,4.73444342527703,-3.085847847200726,55.62373594069352,10.981505447738485,14.472035956249083,2.5944909789073805,6.61338421837956,0.7456709956709957,0.8757763975155279,0.1301054018445323,-0.1301054018445322
 Armed-Forces,adult,-0.0143229304544276,-0.0121251227340945,0.0001781367838062,0.2409443725743855,0.0,1.000646830530401,0.0,0.0,1.0,3094,8.037220031133012,2,103,4.634728988229636,0,0,0,0,0,0,103,0,1.0,0.0,0.0332902391725921,-3.4024910429033755,30.038834951456312,3.402491042903376,0.2407886231415643,0.7592113768584356,0.5,0.2592113768584356,2,0,0,0.0,0.0,0,-1.9585192951024752,3093.9999999999995,328.4980587034663,716.8303066128841,1544.4974120502932,-3.085847847200726,55.62373594069352,10.981505447738485,14.472035956249083,39.312835435307015,6.61338421837956,0.7590556274256145,1.0,0.2409443725743855,-0.2409443725743855
 Craft-repair,adult,0.005075940450402,-0.1127139634568477,1.2826062865720078e-05,0.2399403874813711,0.2463414634146341,0.9964772602246472,0.0,0.0,1.0,3094,8.037220031133012,2,103,4.634728988229636,0,0,0,0,0,0,103,0,1.0,0.0,0.0332902391725921,-3.4024910429033755,30.038834951456312,3.402491042903376,0.2407886231415643,0.7592113768584356,0.5,0.2592113768584356,2,0,0,0.0,0.0,0,-1.9585192951024752,3093.9999999999995,328.4980587034663,716.8303066128841,2.705407197203099,-3.085847847200726,55.62373594069352,10.981505447738485,14.472035956249083,2.1687920153929925,6.61338421837956,0.760059612518629,0.7536585365853659,-0.006401075933263,0.0064010759332631
 Exec-managerial,adult,0.196806472711653,0.3560375678237075,0.0172026952442764,0.20817843866171,0.4579207920792079,0.8645692472742695,1.0,0.0,1.0,3094,8.037220031133012,2,103,4.634728988229636,0,0,0,0,0,0,103,0,1.0,0.0,0.0332902391725921,-3.4024910429033755,30.038834951456312,3.402491042903376,0.2407886231415643,0.7592113768584356,0.5,0.2592113768584356,2,0,0,0.0,0.0,0,-1.9585192951024752,3093.9999999999995,328.4980587034663,716.8303066128841,2.815087536639977,-3.085847847200726,55.62373594069352,10.981505447738485,14.472035956249083,2.1939161895391064,6.61338421837956,0.79182156133829,0.5420792079207921,-0.2497423534174978,0.2497423534174978
 Farming-fishing,adult,-0.0524972585493874,-0.0775696486094141,0.0016176600602425,0.2446737683089214,0.1111111111111111,1.0161350861044334,0.0,0.0,1.0,3094,8.037220031133012,2,103,4.634728988229636,0,0,0,0,0,0,103,0,1.0,0.0,0.0332902391725921,-3.4024910429033755,30.038834951456312,3.402491042903376,0.2407886231415643,0.7592113768584356,0.5,0.2592113768584356,2,0,0,0.0,0.0,0,-1.9585192951024752,3093.9999999999995,328.4980587034663,716.8303066128841,29.45725875060684,-3.085847847200726,55.62373594069352,10.981505447738485,14.472035956249083,5.606979367445328,6.61338421837956,0.7553262316910786,0.8888888888888888,0.1335626571978103,-0.1335626571978102
 Handlers-cleaners,adult,-0.0918304845955206,-0.0901517357406126,0.0057552858244983,0.2485723883103796,0.0427350427350427,1.032326133466194,0.0,0.0,1.0,3094,8.037220031133012,2,103,4.634728988229636,0,0,0,0,0,0,103,0,1.0,0.0,0.0332902391725921,-3.4024910429033755,30.038834951456312,3.402491042903376,0.2407886231415643,0.7592113768584356,0.5,0.2592113768584356,2,0,0,0.0,0.0,0,-1.9585192951024752,3093.9999999999995,328.4980587034663,716.8303066128841,21.520446341281385,-3.085847847200726,55.62373594069352,10.981505447738485,14.472035956249083,4.848353913726852,6.61338421837956,0.7514276116896204,0.9572649572649572,0.2058373455753369,-0.2058373455753369
 Machine-op-inspct,adult,-0.050916780655649,-0.122631020865321,0.0014134297801955,0.2465421853388658,0.1584158415841584,1.0238946596489271,0.0,0.0,1.0,3094,8.037220031133012,2,103,4.634728988229636,0,0,0,0,0,0,103,0,1.0,0.0,0.0332902391725921,-3.4024910429033755,30.038834951456312,3.402491042903376,0.2407886231415643,0.7592113768584356,0.5,0.2592113768584356,2,0,0,0.0,0.0,0,-1.9585192951024752,3093.9999999999995,328.4980587034663,716.8303066128841,10.405426034250558,-3.085847847200726,55.62373594069352,10.981505447738485,14.472035956249083,3.52117881600715,6.61338421837956,0.7534578146611342,0.8415841584158417,0.0881263437547074,-0.0881263437547075
 Other-service,adult,-0.1761233241397945,-0.1675129468502411,0.0218424984468466,0.2672476397966594,0.0264705882352941,1.1098848289004888,1.0,0.0,1.0,3094,8.037220031133012,2,103,4.634728988229636,0,0,0,0,0,0,103,0,1.0,0.0,0.0332902391725921,-3.4024910429033755,30.038834951456312,3.402491042903376,0.2407886231415643,0.7592113768584356,0.5,0.2592113768584356,2,0,0,0.0,0.0,0,-1.9585192951024752,3093.9999999999995,328.4980587034663,716.8303066128841,4.2322317245244285,-3.085847847200726,55.62373594069352,10.981505447738485,14.472035956249083,2.4958959062475743,6.61338421837956,0.7327523602033406,0.973529411764706,0.2407770515613652,-0.2407770515613653
 Priv-house-serv,adult,-0.0267054746806807,-0.0321424922405796,0.0004549253715973,0.2415584415584415,0.0714285714285714,1.003197071384991,0.0,0.0,1.0,3094,8.037220031133012,2,103,4.634728988229636,0,0,0,0,0,0,103,0,1.0,0.0,0.0332902391725921,-3.4024910429033755,30.038834951456312,3.402491042903376,0.2407886231415643,0.7592113768584356,0.5,0.2592113768584356,2,0,0,0.0,0.0,0,-1.9585192951024752,3093.9999999999995,328.4980587034663,716.8303066128841,216.3559638451203,-3.085847847200726,55.62373594069352,10.981505447738485,14.472035956249083,14.772139623413626,6.61338421837956,0.7584415584415585,0.9285714285714286,0.1701298701298701,-0.1701298701298701
 Prof-specialty,adult,0.1961355137931054,0.2315287118929723,0.0170161554677341,0.2093623295245116,0.4645669291338583,0.8694859698642132,1.0,0.0,1.0,3094,8.037220031133012,2,103,4.634728988229636,0,0,0,0,0,0,103,0,1.0,0.0,0.0332902391725921,-3.4024910429033755,30.038834951456312,3.402491042903376,0.2407886231415643,0.7592113768584356,0.5,0.2592113768584356,2,0,0,0.0,0.0,0,-1.9585192951024752,3093.9999999999995,328.4980587034663,716.8303066128841,3.268387888494599,-3.085847847200726,55.62373594069352,10.981505447738485,14.472035956249083,2.294836721760781,6.61338421837956,0.7906376704754884,0.5354330708661417,-0.2552045996093467,0.2552045996093467
 Protective-serv,adult,0.0503533491990959,-0.0168178182173002,0.0011349196720012,0.2378129117259552,0.396551724137931,0.9876418105773228,0.0,0.0,1.0,3094,8.037220031133012,2,103,4.634728988229636,0,0,0,0,0,0,103,0,1.0,0.0,0.0332902391725921,-3.4024910429033755,30.038834951456312,3.402491042903376,0.2407886231415643,0.7592113768584356,0.5,0.2592113768584356,2,0,0,0.0,0.0,0,-1.9585192951024752,3093.9999999999995,328.4980587034663,716.8303066128841,48.4441220696696,-3.085847847200726,55.62373594069352,10.981505447738485,14.472035956249083,7.1001977155117055,6.61338421837956,0.7621870882740448,0.603448275862069,-0.1587388124119758,0.1587388124119758
 Sales,adult,0.0111174972329113,0.042816989311009,6.111449732756902e-05,0.2391461649782923,0.2545454545454545,0.9931788381783038,0.0,0.0,0.0,3094,8.037220031133012,2,103,4.634728988229636,0,0,0,0,0,0,103,0,1.0,0.0,0.0332902391725921,-3.4024910429033755,30.038834951456312,3.402491042903376,0.2407886231415643,0.7592113768584356,0.5,0.2592113768584356,2,0,0,0.0,0.0,0,-1.9585192951024752,3093.9999999999995,328.4980587034663,716.8303066128841,4.50436427108912,-3.085847847200726,55.62373594069352,10.981505447738485,14.472035956249083,2.549794699872081,6.61338421837956,0.7608538350217077,0.7454545454545455,-0.0153992895671622,0.0153992895671621
 Tech-support,adult,0.0329667082488482,0.0511541077387934,0.0005094539375998,0.2383488681757656,0.3222222222222222,0.989867648504455,0.0,0.0,0.0,3094,8.037220031133012,2,103,4.634728988229636,0,0,0,0,0,0,103,0,1.0,0.0,0.0332902391725921,-3.4024910429033755,30.038834951456312,3.402491042903376,0.2407886231415643,0.7592113768584356,0.5,0.2592113768584356,2,0,0,0.0,0.0,0,-1.9585192951024752,3093.9999999999995,328.4980587034663,716.8303066128841,29.45725875060684,-3.085847847200726,55.62373594069352,10.981505447738485,14.472035956249083,5.606979367445328,6.61338421837956,0.7616511318242344,0.6777777777777778,-0.0838733540464566,0.0838733540464565
